"tag_index","global_pvalue","video1concordance","video2concordance","video3concordance","video4concordance","video5concordance","video6concordance","video7concordance","video8concordance","video1pvalue","video2pvalue","video3pvalue","video4pvalue","video5pvalue","video6pvalue","video7pvalue","video8pvalue","video1mean","video2mean","video3mean","video4mean","video5mean","video6mean","video7mean","video8mean","video1sd","video2sd","video3sd","video4sd","video5sd","video6sd","video7sd","video8sd"
79,0,0.766666666666667,0.879861111111111,0.88,0.872672672672673,0.948387096774194,0.962539682539683,0.88,0.915277777777778,0.004,0.12,0.024,0,1,0.025,0,0.274,0.138888888888889,0.065625,0.0657142857142857,0.0756756756756757,0.0258064516129032,0.02,0.07,0.04375,0.346311867578203,0.248013265647836,0.248136732275204,0.264836612110261,0.158813851538342,0.140200429594394,0.255466549463402,0.204858694322449
80,0.071,0.894444444444444,0.932638888888889,0.85968253968254,0.894294294294294,0.974193548387097,0.971428571428571,0.917777777777778,0.938888888888889,1,0.53,0.117,0.698,1,1,0.016,0.297,0.0527777777777778,0.034375,0.0771428571428571,0.0540540540540541,0.0129032258064516,0.0142857142857143,0.045,0.03125,0.223900732967671,0.182475789608111,0.267199971567302,0.226430525720584,0.113039602659846,0.118835942251037,0.207563741455287,0.174265138676655
81,0.051,0.95,0.908333333333333,0.905396825396825,0.936336336336336,0.993548387096774,0.994285714285714,0.801666666666667,0.96875,1,0,0,0.749,1,1,0,1,0.025,0.05625,0.06,0.0324324324324324,0.0032258064516129,0.00285714285714286,0.1425,0.015625,0.156342242966938,0.23076470938421,0.237826837393359,0.177385489692412,0.0567961834247065,0.0534522483824849,0.35,0.124213828679055
82,0,0.739506172839506,0.847222222222222,0.690793650793651,0.714714714714715,0.529749103942652,0.756190476190476,0.657777777777778,0.698611111111111,0,0.009,0.753,0,0.179,0.285,0.063,0,0.172222222222222,0.0875,0.18,0.186486486486486,0.32258064516129,0.137142857142857,0.21,0.19375,0.378098976821678,0.283008911321088,0.384737472357585,0.390026169757906,0.468219568869907,0.344490582989314,0.407818329006537,0.395854300165159
85,0,0.975925925925926,0.742361111111111,0.909206349206349,0.920720720720721,0.972043010752688,0.944126984126984,0.995,0.904166666666667,0.009,0,0,0,0.004,0,1,0,0.0138888888888889,0.203125,0.0714285714285714,0.0648648648648649,0.0161290322580645,0.0457142857142857,0.0025,0.075,0.117192738844005,0.402954896859216,0.257908080481973,0.246620756237514,0.12617544212909,0.209163783514297,0.05,0.263803859882732
86,1,1,1,1,1,0.993548387096774,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0.0567961834247065,0,0,0
87,0,0.953086419753086,0.793055555555556,0.988571428571429,0.974174174174174,0.982795698924731,0.905396825396825,0.995,0.919444444444444,0,0,1,0,0,0,1,0,0.05,0.15625,0.00571428571428571,0.0189189189189189,0.0129032258064516,0.0657142857142857,0.0025,0.10625,0.218248280583641,0.36366085340732,0.0754845176362906,0.136423217309409,0.113039602659846,0.248136732275204,0.05,0.308639953164938
88,0.818,1,0.93125,0.994285714285714,0.983783783783784,1,0.915555555555556,1,0.9875,1,1,1,1,1,0.752,1,1,0,0.034375,0.00285714285714286,0.00810810810810811,0,0.0428571428571429,0,0.00625,0,0.182475789608111,0.0534522483824849,0.0898006777407515,0,0.202824912546281,0,0.0789329305392304
89,0.032,0.940123456790123,0.951388888888889,0.94984126984127,0.952552552552553,1,0.975238095238095,0.99,0.98125,0.676,0.466,0.484,0.467,1,0.002,1,1,0.0305555555555556,0.025,0.0257142857142857,0.0243243243243243,0,0.0142857142857143,0.005,0.009375,0.172349719681647,0.156369468433922,0.158508190640751,0.154262658149685,0,0.118835942251037,0.0706220126566724,0.0965205810722921
90,0,0.662345679012346,0.696527777777778,0.692063492063492,0.763363363363363,0.795698924731183,0.61968253968254,0.721666666666667,0.576388888888889,0,0,0,0,0.1,0,0,0,0.491666666666667,0.234375,0.471428571428571,0.664864864864865,0.112903225806452,0.431428571428571,0.7275,0.48125,0.500626348634463,0.424270995641874,0.499897656328884,0.472676869989873,0.316986146608435,0.495984695999358,0.445803321548594,0.500430848852025
91,0,0.697530864197531,0.780555555555556,0.603174603174603,0.562162162162162,0.756989247311828,0.588571428571429,0.500555555555556,0.604166666666667,0,0,0,0,0,0,0,0,0.211111111111111,0.15625,0.3,0.456756756756757,0.145161290322581,0.337142857142857,0.4325,0.3,0.408665044430218,0.36366085340732,0.458913629344028,0.498801023452822,0.352832926786697,0.473410908031085,0.496043241303727,0.458975279519531
92,0,0.672222222222222,0.635416666666667,0.751111111111111,0.692492492492492,0.696057347670251,0.671111111111111,0.847777777777778,0.752777777777778,0,0,0.001,0,0.008,0,0,0,0.225,0.271875,0.148571428571429,0.2,0.180645161290323,0.234285714285714,0.09,0.175,0.418163513752675,0.44562264917141,0.356174700841375,0.400541638704447,0.385345937833773,0.424157926705063,0.286540159764552,0.380562197553694
93,0,0.979012345679012,0.955555555555556,0.978412698412698,0.932732732732733,1,0.923809523809524,0.856111111111111,0.927777777777778,0.136,0.005,0.078,0.002,1,0.037,0,0.216,0.0111111111111111,0.025,0.0114285714285714,0.0378378378378378,0,0.04,0.0925,0.0375,0.104967902715227,0.156369468433922,0.10644403017341,0.191062286912952,0,0.196239722414437,0.290093321774814,0.190281098776847
94,0,0.674074074074074,0.635416666666667,0.638095238095238,0.607807807807808,0.881003584229391,0.631746031746032,0.521111111111111,0.642361111111111,0,0,0,0,0,0,0,0,0.222222222222222,0.378125,0.308571428571429,0.494594594594595,0.0774193548387097,0.348571428571429,0.44,0.278125,0.416318331646882,0.485678515779374,0.462565059976886,0.500647789553489,0.267687782946366,0.477200184800165,0.497008595357916,0.448777073911943
95,0,0.780246913580247,0.594444444444444,0.739047619047619,0.614414414414414,0.954121863799283,0.843174603174603,0.97,0.873611111111111,0.01,0,0,0,0.011,0.068,1,0.082,0.133333333333333,0.2875,0.18,0.389189189189189,0.0258064516129032,0.0885714285714286,0.015,0.06875,0.340407751565538,0.453305518846757,0.384737472357585,0.488226581069441,0.158813851538342,0.28453090996038,0.121704683867089,0.253424817117492
96,0,0.883950617283951,0.761111111111111,0.732063492063492,0.824024024024024,0.835125448028674,0.676190476190476,0.91,0.844444444444444,0.531,0,0.001,0.022,0.023,0,0.001,0,0.0611111111111111,0.15,0.154285714285714,0.0945945945945946,0.0903225806451613,0.234285714285714,0.05,0.1,0.239867393469841,0.357630656572358,0.361739554826387,0.293050441883846,0.287106802979211,0.424157926705063,0.218217890235992,0.300469851501681
97,0.003,0.930246913580247,0.925,0.915555555555556,0.919519519519519,1,0.952380952380952,0.995,0.96875,0.083,1,0.409,0.007,1,0.039,1,1,0.0361111111111111,0.0375,0.0428571428571429,0.0432432432432432,0,0.0257142857142857,0.0025,0.015625,0.186826268153864,0.190281098776847,0.202824912546281,0.203679620548673,0,0.158508190640751,0.05,0.124213828679055
101,0.352,0.994444444444444,0.963888888888889,1,0.989189189189189,0.993548387096774,1,1,0.96875,1,0.352,1,1,1,1,1,1,0.00277777777777778,0.01875,0,0.00540540540540541,0.0032258064516129,0,0,0.015625,0.052704627669473,0.135853276930167,0,0.0734217720452783,0.0567961834247065,0,0,0.124213828679055
102,0,0.801234567901235,0.935416666666667,0.901587301587302,0.93033033033033,0.834408602150538,0.945396825396825,0.936111111111111,0.809722222222222,0.014,0.134,0.005,0.035,0.715,0,0.816,0,0.116666666666667,0.034375,0.0542857142857143,0.0378378378378378,0.0870967741935484,0.0342857142857143,0.0325,0.1125,0.321469467266179,0.182475789608111,0.226904997782837,0.191062286912952,0.282432723018477,0.182222599384834,0.177545927553908,0.316475496384653
103,0.171,0.961111111111111,0.9875,1,1,0.993548387096774,0.988571428571429,0.963888888888889,0.96875,1,1,1,1,1,1,0,1,0.0194444444444444,0.00625,0,0,0.0032258064516129,0.00571428571428571,0.0225,0.015625,0.138273163184589,0.0789329305392304,0,0,0.0567961834247065,0.0754845176362906,0.148488626434657,0.124213828679055
104,0.137,0.994444444444444,0.952777777777778,1,0.994594594594595,0.993548387096774,0.971428571428571,0.95,1,1,0.093,1,1,1,1,1,1,0.00277777777777778,0.025,0,0.0027027027027027,0.0032258064516129,0.0142857142857143,0.025,0,0.052704627669473,0.156369468433922,0,0.0519875244910036,0.0567961834247065,0.118835942251037,0.156320472829262,0
105,0,0.977777777777778,0.976388888888889,0.988571428571429,0.974174174174174,0.821505376344086,0.930793650793651,0.94,0.897916666666667,1,0.152,1,0.206,0,0,1,0.224,0.0111111111111111,0.0125,0.00571428571428571,0.0135135135135135,0.1,0.06,0.03,0.053125,0.104967902715227,0.11127643569537,0.0754845176362906,0.115615853420487,0.300485044779141,0.237826837393359,0.170800855767256,0.22463397605325
106,1,1,0.99375,1,1,1,0.971428571428571,0.94,1,1,1,1,1,1,1,1,1,0,0.003125,0,0,0,0.0142857142857143,0.03,0,0,0.0559016994374947,0,0,0,0.118835942251037,0.170800855767256,0
